invoice_no,customer_id,gender,age,category,revenue,payment_method,invoice_date,shopping_mall,year,month,day_of_week,day_of_week_num,age_group,year_month
I202223,C328993,Male,43,Cosmetics,904.19,Credit Card,2021-07-09,Forum Istanbul,2021,7,Friday,4,36-50,2021-07
I187974,C474820,Female,53,Clothing,2186.61,Credit Card,2021-07-09,Cevahir AVM,2021,7,Friday,4,50+,2021-07
I137284,C944150,Male,66,Clothing,1855.28,Debit Card,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I329243,C321372,Female,27,Clothing,2660.94,Cash,2021-07-09,Metrocity,2021,7,Friday,4,26-35,2021-07
I197622,C103245,Male,54,Technology,1254.92,Cash,2021-07-09,Istinye Park,2021,7,Friday,4,50+,2021-07
I240547,C317804,Female,69,Cosmetics,498.49,Debit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,50+,2021-07
I199609,C162443,Female,49,Clothing,2000.67,Credit Card,2021-07-09,Kanyon,2021,7,Friday,4,36-50,2021-07
I221458,C295747,Male,42,Clothing,1079.81,Credit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,36-50,2021-07
I197139,C290859,Male,42,Cosmetics,926.11,Cash,2021-07-09,Emaar Square Mall,2021,7,Friday,4,36-50,2021-07
I373394,C824996,Male,20,Toys,376.3,Debit Card,2021-07-09,Metrocity,2021,7,Friday,4,18-25,2021-07
I144527,C139453,Female,65,Cosmetics,456.88,Debit Card,2021-07-09,Forum Istanbul,2021,7,Friday,4,50+,2021-07
I162654,C209561,Female,56,Technology,1971.67,Credit Card,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I156642,C139700,Male,64,Food & Beverage,123.72,Cash,2021-07-09,Forum Istanbul,2021,7,Friday,4,50+,2021-07
I148998,C258438,Male,54,Food & Beverage,132.79,Cash,2021-07-09,Forum Istanbul,2021,7,Friday,4,50+,2021-07
I197289,C115706,Male,48,Technology,2062.3,Credit Card,2021-07-09,Metrocity,2021,7,Friday,4,36-50,2021-07
I306004,C152188,Female,55,Clothing,1150.07,Cash,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I254735,C345143,Female,33,Clothing,2782.78,Credit Card,2021-07-09,Kanyon,2021,7,Friday,4,26-35,2021-07
I140306,C198445,Female,49,Clothing,2102.54,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,36-50,2021-07
I333293,C271142,Female,57,Cosmetics,807.31,Cash,2021-07-09,Metrocity,2021,7,Friday,4,50+,2021-07
I705065,C230528,Male,57,Shoes,1376.82,Credit Card,2021-07-09,Cevahir AVM,2021,7,Friday,4,50+,2021-07
I241036,C186448,Male,57,Cosmetics,910.11,Credit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I235783,C970202,Female,47,Toys,197.13,Cash,2021-07-09,Metrocity,2021,7,Friday,4,36-50,2021-07
I351059,C292856,Male,41,Clothing,1544.04,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,36-50,2021-07
I255577,C102846,Female,46,Cosmetics,227.14,Cash,2021-07-09,Metrocity,2021,7,Friday,4,36-50,2021-07
I705959,C310974,Female,68,Souvenir,123.04,Cash,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I898733,C554005,Female,32,Souvenir,166.19,Cash,2021-07-09,Metropol AVM,2021,7,Friday,4,26-35,2021-07
I135031,C272150,Female,59,Clothing,1753.34,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,50+,2021-07
I303446,C334107,Male,25,Food & Beverage,56.59,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,18-25,2021-07
I103408,C171463,Female,23,Clothing,2717.46,Cash,2021-07-09,Istinye Park,2021,7,Friday,4,18-25,2021-07
I132738,C256652,Female,69,Toys,242.52,Cash,2021-07-09,Metrocity,2021,7,Friday,4,50+,2021-07
I907934,C236102,Female,63,Clothing,1976.07,Credit Card,2021-07-09,Forum Istanbul,2021,7,Friday,4,50+,2021-07
I172103,C300538,Female,55,Clothing,2362.2,Debit Card,2021-07-09,Metrocity,2021,7,Friday,4,50+,2021-07
I109151,C164460,Female,29,Clothing,1725.95,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,26-35,2021-07
I290135,C347162,Male,28,Clothing,1091.63,Debit Card,2021-07-09,Metrocity,2021,7,Friday,4,26-35,2021-07
I237947,C438901,Female,33,Cosmetics,626.85,Cash,2021-07-09,Metropol AVM,2021,7,Friday,4,26-35,2021-07
I587942,C178002,Female,61,Food & Beverage,60.71,Debit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I322638,C280207,Male,27,Cosmetics,737.93,Cash,2021-07-09,Emaar Square Mall,2021,7,Friday,4,26-35,2021-07
I258991,C405956,Male,51,Food & Beverage,138.45,Cash,2021-07-09,Zorlu Center,2021,7,Friday,4,50+,2021-07
I142370,C303214,Female,31,Clothing,1219.38,Cash,2021-07-09,Kanyon,2021,7,Friday,4,26-35,2021-07
I206789,C663997,Female,60,Technology,4776.26,Credit Card,2021-07-09,Istinye Park,2021,7,Friday,4,50+,2021-07
I505532,C626110,Female,25,Food & Beverage,110.69,Cash,2021-07-09,Istinye Park,2021,7,Friday,4,18-25,2021-07
I685763,C447739,Female,28,Technology,804.8,Cash,2021-07-09,Metrocity,2021,7,Friday,4,26-35,2021-07
I204138,C903783,Male,60,Technology,4582.17,Cash,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I419598,C185571,Female,47,Food & Beverage,129.81,Cash,2021-07-09,Kanyon,2021,7,Friday,4,36-50,2021-07
I336124,C239258,Female,55,Clothing,2178.54,Debit Card,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I192164,C280032,Female,56,Toys,851.58,Cash,2021-07-09,Metropol AVM,2021,7,Friday,4,50+,2021-07
I176881,C880634,Male,30,Food & Beverage,137.27,Credit Card,2021-07-09,Istinye Park,2021,7,Friday,4,26-35,2021-07
I144654,C168604,Female,31,Food & Beverage,53.77,Cash,2021-07-09,Mall of Istanbul,2021,7,Friday,4,26-35,2021-07
I314355,C126815,Male,48,Souvenir,199.37,Cash,2021-07-09,Zorlu Center,2021,7,Friday,4,36-50,2021-07
I190090,C187333,Female,69,Cosmetics,827.77,Cash,2021-07-09,Metropol AVM,2021,7,Friday,4,50+,2021-07
I157260,C226868,Female,29,Technology,2813.77,Cash,2021-07-09,Mall of Istanbul,2021,7,Friday,4,26-35,2021-07
I107120,C211441,Female,51,Clothing,1964.77,Cash,2021-07-09,Metrocity,2021,7,Friday,4,50+,2021-07
I324951,C244563,Male,29,Toys,814.52,Cash,2021-07-09,Forum Istanbul,2021,7,Friday,4,26-35,2021-07
I288803,C149932,Female,47,Cosmetics,686.75,Credit Card,2021-07-09,Zorlu Center,2021,7,Friday,4,36-50,2021-07
I216950,C188428,Female,31,Clothing,2443.63,Cash,2021-07-09,Mall of Istanbul,2021,7,Friday,4,26-35,2021-07
I665745,C846668,Male,33,Clothing,1431.47,Cash,2021-07-09,Istinye Park,2021,7,Friday,4,26-35,2021-07
I150428,C100410,Male,58,Clothing,1550.9,Debit Card,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I163688,C321304,Male,50,Clothing,2158.57,Debit Card,2021-07-09,Cevahir AVM,2021,7,Friday,4,36-50,2021-07
I163978,C340468,Female,25,Clothing,1523.84,Debit Card,2021-07-09,Viaport Outlet,2021,7,Friday,4,18-25,2021-07
I152054,C107735,Female,21,Clothing,1719.57,Credit Card,2021-07-09,Metrocity,2021,7,Friday,4,18-25,2021-07
I238915,C419998,Female,41,Clothing,1699.66,Credit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,36-50,2021-07
I633215,C242332,Female,67,Clothing,1816.3,Cash,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I856284,C210679,Female,52,Food & Beverage,61.98,Credit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I116541,C293936,Female,25,Toys,348.14,Cash,2021-07-09,Viaport Outlet,2021,7,Friday,4,18-25,2021-07
I195539,C268791,Female,34,Souvenir,173.98,Credit Card,2021-07-09,Cevahir AVM,2021,7,Friday,4,26-35,2021-07
I196485,C706311,Female,51,Clothing,2001.33,Debit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I701278,C218216,Female,49,Clothing,2643.72,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,36-50,2021-07
I199169,C193151,Female,68,Clothing,2204.77,Credit Card,2021-07-09,Istinye Park,2021,7,Friday,4,50+,2021-07
I317162,C194517,Male,69,Shoes,2739.73,Debit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I931737,C210799,Male,24,Books,438.78,Cash,2021-07-09,Metrocity,2021,7,Friday,4,18-25,2021-07
I582421,C364824,Female,41,Clothing,1119.01,Cash,2021-07-09,Kanyon,2021,7,Friday,4,36-50,2021-07
I254390,C284167,Female,26,Shoes,2831.64,Cash,2021-07-09,Viaport Outlet,2021,7,Friday,4,26-35,2021-07
I206337,C157083,Female,40,Clothing,1636.3,Debit Card,2021-07-09,Istinye Park,2021,7,Friday,4,36-50,2021-07
I687773,C270512,Male,37,Clothing,1989.53,Debit Card,2021-07-09,Kanyon,2021,7,Friday,4,36-50,2021-07
I510131,C234089,Female,35,Shoes,2484.22,Debit Card,2021-07-09,Metrocity,2021,7,Friday,4,26-35,2021-07
I152354,C204168,Female,66,Books,243.72,Cash,2021-07-09,Istinye Park,2021,7,Friday,4,50+,2021-07
I216892,C142891,Female,49,Clothing,1865.58,Credit Card,2021-07-09,Kanyon,2021,7,Friday,4,36-50,2021-07
I262670,C910121,Female,38,Food & Beverage,99.57,Debit Card,2021-07-09,Istinye Park,2021,7,Friday,4,36-50,2021-07
I134194,C147360,Female,61,Food & Beverage,104.43,Credit Card,2021-07-09,Metrocity,2021,7,Friday,4,50+,2021-07
I449465,C326626,Female,61,Books,374.17,Cash,2021-07-09,Istinye Park,2021,7,Friday,4,50+,2021-07
I517767,C630949,Female,55,Food & Beverage,145.09,Cash,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I219698,C819112,Female,27,Clothing,2859.62,Credit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,26-35,2021-07
I371206,C837678,Female,51,Clothing,2859.73,Cash,2021-07-09,Metrocity,2021,7,Friday,4,50+,2021-07
I319371,C543208,Female,25,Clothing,2636.86,Debit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,18-25,2021-07
I297851,C288666,Male,67,Toys,185.46,Debit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I126411,C371581,Male,19,Clothing,2423.76,Cash,2021-07-09,Metropol AVM,2021,7,Friday,4,18-25,2021-07
I155764,C202798,Female,31,Shoes,1919.27,Cash,2021-07-09,Forum Istanbul,2021,7,Friday,4,26-35,2021-07
I322039,C257825,Male,34,Books,317.15,Credit Card,2021-07-09,Metropol AVM,2021,7,Friday,4,26-35,2021-07
I108935,C246918,Female,63,Toys,941.33,Debit Card,2021-07-09,Cevahir AVM,2021,7,Friday,4,50+,2021-07
I298471,C143586,Female,50,Cosmetics,732.57,Cash,2021-07-09,Viaport Outlet,2021,7,Friday,4,36-50,2021-07
I118248,C149161,Male,36,Food & Beverage,125.66,Credit Card,2021-07-09,Mall of Istanbul,2021,7,Friday,4,36-50,2021-07
I180792,C303295,Female,54,Cosmetics,170.38,Credit Card,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I400476,C121181,Male,40,Cosmetics,837.24,Cash,2021-07-09,Viaport Outlet,2021,7,Friday,4,36-50,2021-07
I292217,C182457,Male,66,Clothing,2510.63,Cash,2021-07-09,Kanyon,2021,7,Friday,4,50+,2021-07
I809188,C897941,Male,29,Clothing,1510.03,Debit Card,2021-07-09,Kanyon,2021,7,Friday,4,26-35,2021-07
I196150,C332480,Male,21,Clothing,1548.55,Cash,2021-07-09,Metropol AVM,2021,7,Friday,4,18-25,2021-07
I941512,C115826,Female,46,Cosmetics,403.61,Credit Card,2021-07-09,Emaar Square Mall,2021,7,Friday,4,36-50,2021-07
I949324,C214054,Male,52,Books,234.06,Cash,2021-07-09,Mall of Istanbul,2021,7,Friday,4,50+,2021-07
I142563,C336798,Female,67,Food & Beverage,73.3,Debit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,50+,2021-07
I215805,C861935,Female,68,Souvenir,153.75,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,50+,2021-07
I318374,C190262,Female,30,Toys,249.46,Credit Card,2021-07-10,Cevahir AVM,2021,7,Saturday,5,26-35,2021-07
I337587,C126264,Male,36,Clothing,1264.25,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I132188,C200842,Male,41,Books,178.67,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,36-50,2021-07
I549445,C244746,Female,68,Clothing,1868.07,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,50+,2021-07
I230822,C202803,Male,34,Clothing,1146.76,Cash,2021-07-10,Emaar Square Mall,2021,7,Saturday,5,26-35,2021-07
I189324,C329298,Male,43,Clothing,1890.35,Debit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I231621,C317440,Female,40,Food & Beverage,54.71,Debit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I275814,C164623,Male,31,Toys,698.83,Credit Card,2021-07-10,Metrocity,2021,7,Saturday,5,26-35,2021-07
I110324,C146397,Male,31,Clothing,1946.15,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,26-35,2021-07
I464923,C268687,Male,31,Cosmetics,565.66,Credit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,26-35,2021-07
I312054,C109993,Male,66,Clothing,2594.18,Credit Card,2021-07-10,Forum Istanbul,2021,7,Saturday,5,50+,2021-07
I417023,C646668,Male,41,Toys,794.97,Cash,2021-07-10,Emaar Square Mall,2021,7,Saturday,5,36-50,2021-07
I175318,C262436,Female,25,Shoes,1171.54,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I308136,C228681,Male,68,Clothing,1702.33,Debit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,50+,2021-07
I239187,C198557,Female,42,Clothing,2940.06,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,36-50,2021-07
I314977,C219163,Male,38,Clothing,1649.26,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,36-50,2021-07
I649421,C172010,Female,38,Technology,1948.35,Credit Card,2021-07-10,Viaport Outlet,2021,7,Saturday,5,36-50,2021-07
I288822,C348970,Female,64,Clothing,1675.93,Cash,2021-07-10,Cevahir AVM,2021,7,Saturday,5,50+,2021-07
I164367,C338927,Female,30,Shoes,1307.64,Debit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,26-35,2021-07
I163022,C311114,Male,23,Clothing,2460.56,Cash,2021-07-10,Istinye Park,2021,7,Saturday,5,18-25,2021-07
I151275,C172174,Male,37,Clothing,2159.29,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I169031,C189187,Female,49,Shoes,2373.65,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I587492,C156473,Female,61,Food & Beverage,67.21,Debit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,50+,2021-07
I254412,C149337,Female,37,Food & Beverage,143.04,Cash,2021-07-10,Viaport Outlet,2021,7,Saturday,5,36-50,2021-07
I244432,C939051,Female,43,Cosmetics,950.56,Credit Card,2021-07-10,Kanyon,2021,7,Saturday,5,36-50,2021-07
I235640,C519706,Female,21,Clothing,2756.2,Credit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,18-25,2021-07
I265295,C311528,Female,61,Cosmetics,521.11,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,50+,2021-07
I130572,C583283,Female,30,Shoes,1830.83,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,26-35,2021-07
I244263,C739777,Female,44,Clothing,2755.51,Credit Card,2021-07-10,Metrocity,2021,7,Saturday,5,36-50,2021-07
I335755,C236045,Male,42,Cosmetics,741.62,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I679412,C917221,Male,40,Technology,2315.28,Debit Card,2021-07-10,Cevahir AVM,2021,7,Saturday,5,36-50,2021-07
I998518,C107293,Female,19,Clothing,1190.19,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,18-25,2021-07
I168905,C147757,Female,69,Clothing,1548.5,Credit Card,2021-07-10,Zorlu Center,2021,7,Saturday,5,50+,2021-07
I104723,C133262,Female,49,Shoes,2723.71,Credit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I142664,C277945,Female,28,Toys,981.71,Debit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,26-35,2021-07
I138947,C320627,Female,21,Clothing,1804.41,Debit Card,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I322867,C220906,Male,66,Cosmetics,443.61,Cash,2021-07-10,Zorlu Center,2021,7,Saturday,5,50+,2021-07
I263427,C144278,Female,26,Toys,839.59,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,26-35,2021-07
I675538,C252821,Male,24,Toys,220.16,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,18-25,2021-07
I275423,C153684,Female,34,Food & Beverage,55.32,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,26-35,2021-07
I375967,C767641,Male,49,Clothing,1883.95,Cash,2021-07-10,Istinye Park,2021,7,Saturday,5,36-50,2021-07
I264931,C137613,Male,41,Shoes,1973.18,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I338867,C141126,Female,49,Shoes,1318.7,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I149609,C328509,Male,68,Cosmetics,344.61,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,50+,2021-07
I439007,C152077,Male,46,Cosmetics,957.72,Credit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I138004,C469225,Male,43,Shoes,1727.34,Debit Card,2021-07-10,Metrocity,2021,7,Saturday,5,36-50,2021-07
I295100,C140913,Female,24,Clothing,2949.98,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,18-25,2021-07
I677806,C232385,Female,37,Cosmetics,876.79,Cash,2021-07-10,Istinye Park,2021,7,Saturday,5,36-50,2021-07
I153187,C427276,Female,18,Food & Beverage,65.28,Debit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,18-25,2021-07
I668807,C315703,Female,28,Books,183.61,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,26-35,2021-07
I139908,C859812,Female,35,Cosmetics,667.13,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,26-35,2021-07
I266816,C327129,Male,54,Cosmetics,854.51,Credit Card,2021-07-10,Zorlu Center,2021,7,Saturday,5,50+,2021-07
I221318,C160050,Male,56,Clothing,1215.24,Credit Card,2021-07-10,Metrocity,2021,7,Saturday,5,50+,2021-07
I130776,C788359,Female,60,Technology,952.49,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,50+,2021-07
I765948,C659093,Male,38,Food & Beverage,114.53,Credit Card,2021-07-10,Zorlu Center,2021,7,Saturday,5,36-50,2021-07
I163386,C775482,Female,48,Shoes,2264.61,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,36-50,2021-07
I115595,C189496,Male,22,Clothing,1757.28,Debit Card,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I152104,C541591,Female,32,Clothing,2523.78,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,26-35,2021-07
I155188,C496636,Female,20,Toys,194.03,Credit Card,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I889491,C232915,Male,62,Clothing,2050.49,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,50+,2021-07
I123753,C821206,Male,39,Cosmetics,614.17,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I222300,C259774,Male,48,Cosmetics,336.04,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I107314,C839287,Female,56,Books,328.12,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,50+,2021-07
I563526,C250915,Female,36,Clothing,1095.49,Credit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I320612,C151558,Male,62,Clothing,2758.63,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,50+,2021-07
I868037,C216152,Female,22,Clothing,1230.78,Credit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,18-25,2021-07
I229521,C854089,Male,57,Cosmetics,762.16,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,50+,2021-07
I313193,C230253,Male,59,Clothing,2014.92,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,50+,2021-07
I301961,C837949,Female,37,Technology,977.21,Credit Card,2021-07-10,Viaport Outlet,2021,7,Saturday,5,36-50,2021-07
I721068,C722271,Male,20,Food & Beverage,83.41,Debit Card,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I835222,C689710,Male,46,Souvenir,271.83,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I247949,C330240,Female,36,Cosmetics,248.06,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I383395,C334805,Female,29,Clothing,2235.29,Debit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,26-35,2021-07
I202181,C300194,Female,49,Shoes,2013.48,Credit Card,2021-07-10,Kanyon,2021,7,Saturday,5,36-50,2021-07
I973088,C264087,Female,64,Clothing,2605.89,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,50+,2021-07
I334348,C124038,Female,56,Cosmetics,295.01,Cash,2021-07-10,Zorlu Center,2021,7,Saturday,5,50+,2021-07
I164345,C280337,Female,29,Toys,583.41,Credit Card,2021-07-10,Cevahir AVM,2021,7,Saturday,5,26-35,2021-07
I224863,C500300,Female,19,Cosmetics,566.21,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,18-25,2021-07
I240878,C664483,Female,51,Shoes,1733.57,Debit Card,2021-07-10,Viaport Outlet,2021,7,Saturday,5,50+,2021-07
I159326,C983557,Male,67,Cosmetics,764.05,Credit Card,2021-07-10,Kanyon,2021,7,Saturday,5,50+,2021-07
I403579,C229357,Female,39,Toys,646.86,Credit Card,2021-07-10,Forum Istanbul,2021,7,Saturday,5,36-50,2021-07
I319420,C202226,Female,19,Cosmetics,653.86,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,18-25,2021-07
I836360,C270041,Female,62,Clothing,2632.17,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,50+,2021-07
I327781,C327905,Male,26,Food & Beverage,146.99,Cash,2021-07-10,Emaar Square Mall,2021,7,Saturday,5,26-35,2021-07
I933138,C105800,Male,55,Cosmetics,650.39,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,50+,2021-07
I142544,C927588,Male,38,Food & Beverage,73.39,Debit Card,2021-07-10,Kanyon,2021,7,Saturday,5,36-50,2021-07
I732940,C305737,Male,53,Clothing,2098.94,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,50+,2021-07
I298307,C264310,Female,66,Clothing,2307.22,Credit Card,2021-07-10,Kanyon,2021,7,Saturday,5,50+,2021-07
I729511,C547106,Female,45,Cosmetics,481.15,Credit Card,2021-07-10,Zorlu Center,2021,7,Saturday,5,36-50,2021-07
I153947,C964405,Female,34,Clothing,2268.2,Credit Card,2021-07-10,Emaar Square Mall,2021,7,Saturday,5,26-35,2021-07
I242129,C273720,Female,59,Clothing,1328.11,Debit Card,2021-07-10,Metrocity,2021,7,Saturday,5,50+,2021-07
I183079,C243292,Female,57,Food & Beverage,124.34,Cash,2021-07-10,Emaar Square Mall,2021,7,Saturday,5,50+,2021-07
I179299,C468838,Female,39,Food & Beverage,143.22,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I123545,C188703,Female,20,Food & Beverage,93.57,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I120820,C248475,Male,46,Souvenir,101.4,Cash,2021-07-10,Istinye Park,2021,7,Saturday,5,36-50,2021-07
I100078,C272831,Male,46,Books,393.86,Credit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I134750,C161050,Female,60,Books,282.41,Cash,2021-07-10,Viaport Outlet,2021,7,Saturday,5,50+,2021-07
I394774,C898065,Male,29,Technology,2686.67,Credit Card,2021-07-10,Viaport Outlet,2021,7,Saturday,5,26-35,2021-07
I176846,C242788,Male,49,Clothing,2897.46,Cash,2021-07-10,Viaport Outlet,2021,7,Saturday,5,36-50,2021-07
I153467,C140745,Male,59,Cosmetics,322.22,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,50+,2021-07
I205030,C320752,Male,19,Shoes,2276.24,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,18-25,2021-07
I232395,C205688,Male,61,Clothing,2230.4,Debit Card,2021-07-10,Istinye Park,2021,7,Saturday,5,50+,2021-07
I591379,C524072,Male,29,Books,292.7,Cash,2021-07-10,Metrocity,2021,7,Saturday,5,26-35,2021-07
I422101,C227556,Male,40,Shoes,1168.5,Debit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I267895,C701050,Male,65,Food & Beverage,117.34,Cash,2021-07-10,Forum Istanbul,2021,7,Saturday,5,50+,2021-07
I238075,C802751,Female,23,Cosmetics,372.75,Debit Card,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,18-25,2021-07
I250525,C236190,Male,33,Toys,348.66,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,26-35,2021-07
I277476,C914795,Female,40,Clothing,2374.25,Credit Card,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I304652,C770793,Female,50,Clothing,2548.34,Cash,2021-07-10,Metropol AVM,2021,7,Saturday,5,36-50,2021-07
I471026,C281679,Male,19,Books,413.91,Credit Card,2021-07-10,Forum Istanbul,2021,7,Saturday,5,18-25,2021-07
I167069,C166263,Male,46,Toys,826.97,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,36-50,2021-07
I315202,C792402,Female,62,Food & Beverage,129.4,Credit Card,2021-07-10,Cevahir AVM,2021,7,Saturday,5,50+,2021-07
I819684,C323574,Female,58,Clothing,2052.02,Cash,2021-07-10,Kanyon,2021,7,Saturday,5,50+,2021-07
I286512,C160148,Male,69,Clothing,2318.92,Credit Card,2021-07-10,Emaar Square Mall,2021,7,Saturday,5,50+,2021-07
I912553,C758661,Female,39,Toys,931.01,Debit Card,2021-07-10,Cevahir AVM,2021,7,Saturday,5,36-50,2021-07
I560695,C857522,Female,50,Souvenir,215.55,Credit Card,2021-07-10,Metrocity,2021,7,Saturday,5,36-50,2021-07
I320133,C300658,Female,25,Clothing,1915.61,Cash,2021-07-10,Mall of Istanbul,2021,7,Saturday,5,18-25,2021-07
I989529,C267169,Male,28,Food & Beverage,55.23,Cash,2021-07-10,Zorlu Center,2021,7,Saturday,5,26-35,2021-07
I996795,C450978,Female,64,Food & Beverage,83.33,Credit Card,2021-07-10,Zorlu Center,2021,7,Saturday,5,50+,2021-07
I302293,C546437,Male,40,Souvenir,288.68,Credit Card,2021-07-10,Zorlu Center,2021,7,Saturday,5,36-50,2021-07
