invoice_no,customer_id,gender,age,category,revenue,payment_method,invoice_date,shopping_mall
I570267,C124643,Female,30,Clothing,1928.58,Cash,2021-04-21,Kanyon
I914377,C145911,Female,35,Clothing,2968.63,Cash,2021-04-21,Mall of Istanbul
I240742,C270908,Male,61,Clothing,1230.71,Cash,2021-04-21,Istinye Park
I212775,C208025,Female,35,Cosmetics,219.56,Cash,2021-04-21,Emaar Square Mall
I155063,C182310,Male,21,Shoes,1701.86,Cash,2021-04-21,Kanyon
I330755,C213487,Male,57,Books,283.6,Cash,2021-04-21,Mall of Istanbul
I296050,C453413,Male,28,Shoes,2532.87,Debit Card,2021-04-21,Metropol AVM
I295099,C144996,Female,49,Clothing,2534.95,Cash,2021-04-21,Kanyon
I129521,C200847,Male,60,Food & Beverage,146.95,Credit Card,2021-04-21,Metropol AVM
I286806,C635476,Female,23,Clothing,1166.1,Cash,2021-04-21,Metropol AVM
I247812,C260702,Female,28,Clothing,1141.27,Cash,2021-04-21,Emaar Square Mall
I164232,C173168,Female,27,Cosmetics,101.76,Credit Card,2021-04-21,Kanyon
I153097,C166481,Female,34,Souvenir,112.97,Credit Card,2021-04-21,Metrocity
I596396,C223155,Female,66,Clothing,1258.23,Cash,2021-04-21,Metropol AVM
I998572,C323506,Male,68,Souvenir,129.13,Debit Card,2021-04-21,Istinye Park
I334868,C302201,Male,51,Clothing,2071.55,Cash,2021-04-21,Viaport Outlet
I235193,C957729,Female,45,Food & Beverage,88.57,Debit Card,2021-04-21,Mall of Istanbul
I242715,C291900,Female,58,Clothing,2560.34,Cash,2021-04-21,Mall of Istanbul
I334166,C100655,Female,22,Cosmetics,924.97,Credit Card,2021-04-21,Mall of Istanbul
I207505,C297953,Female,29,Clothing,1561.66,Credit Card,2021-04-21,Metropol AVM
I401484,C320764,Male,35,Clothing,2822.66,Credit Card,2021-04-21,Forum Istanbul
I299463,C715633,Female,65,Clothing,2975.08,Cash,2021-04-21,Mall of Istanbul
I307249,C267023,Female,32,Shoes,2686.67,Credit Card,2021-04-21,Cevahir AVM
I137418,C130866,Female,50,Clothing,1023.77,Credit Card,2021-04-21,Forum Istanbul
I915233,C654593,Female,47,Toys,843.95,Credit Card,2021-04-21,Forum Istanbul
I294186,C223730,Female,42,Cosmetics,570.68,Debit Card,2021-04-21,Forum Istanbul
I237568,C181837,Female,32,Shoes,2318.05,Credit Card,2021-04-21,Cevahir AVM
I387560,C659110,Female,58,Clothing,2141.69,Cash,2021-04-21,Metrocity
I941268,C109676,Male,43,Technology,1448.08,Credit Card,2021-04-21,Metropol AVM
I263877,C195033,Female,39,Cosmetics,385.23,Credit Card,2021-04-21,Viaport Outlet
I912460,C322171,Female,33,Toys,187.91,Cash,2021-04-21,Kanyon
I264512,C377480,Female,29,Toys,922.56,Credit Card,2021-04-21,Cevahir AVM
I303121,C167184,Female,41,Clothing,1276.25,Credit Card,2021-04-21,Metrocity
I245923,C169100,Male,25,Souvenir,204.28,Cash,2021-04-21,Mall of Istanbul
I267786,C202909,Female,55,Clothing,1082.95,Cash,2021-04-21,Emaar Square Mall
I495092,C186476,Male,28,Books,352.01,Cash,2021-04-21,Forum Istanbul
I856495,C336961,Female,47,Books,319.84,Cash,2021-04-21,Kanyon
I195988,C247298,Female,19,Clothing,2916.67,Credit Card,2021-04-21,Mall of Istanbul
I423941,C109532,Female,31,Clothing,1438.69,Credit Card,2021-04-21,Forum Istanbul
I132926,C185938,Female,51,Clothing,1139.46,Credit Card,2021-04-21,Kanyon
I176718,C233278,Female,63,Books,447.88,Debit Card,2021-04-21,Emaar Square Mall
I102324,C111343,Female,39,Cosmetics,846.17,Credit Card,2021-04-21,Metrocity
I281593,C223184,Male,41,Shoes,1719.53,Credit Card,2021-04-21,Metropol AVM
I408836,C270439,Female,28,Clothing,1481.98,Cash,2021-04-21,Metrocity
I250466,C949476,Female,22,Clothing,2709.43,Cash,2021-04-21,Kanyon
I273271,C605076,Female,58,Clothing,2173.07,Cash,2021-04-21,Metrocity
I911001,C424329,Male,18,Technology,2750.5,Credit Card,2021-04-21,Metropol AVM
I178098,C226736,Male,53,Technology,765.68,Cash,2021-04-21,Kanyon
I346632,C229479,Male,43,Clothing,2139.83,Cash,2021-04-21,Kanyon
I191594,C140036,Male,32,Clothing,1558.46,Credit Card,2021-04-21,Metrocity
I154653,C168925,Female,64,Food & Beverage,113.87,Cash,2021-04-21,Forum Istanbul
I211993,C264689,Female,61,Shoes,1610.48,Cash,2021-04-21,Zorlu Center
I292242,C153079,Male,57,Clothing,1285.53,Credit Card,2021-04-21,Kanyon
I126730,C172800,Female,28,Toys,560.61,Credit Card,2021-04-21,Kanyon
I763151,C976011,Male,34,Food & Beverage,102.44,Credit Card,2021-04-21,Istinye Park
I946649,C123345,Female,31,Cosmetics,979.24,Cash,2021-04-21,Istinye Park
I145819,C890472,Female,38,Clothing,1281.2,Credit Card,2021-04-21,Cevahir AVM
I283998,C176545,Male,48,Food & Beverage,61.59,Debit Card,2021-04-21,Kanyon
I309531,C463033,Male,64,Food & Beverage,137.6,Cash,2021-04-21,Forum Istanbul
I467830,C804451,Female,18,Clothing,2662.5,Credit Card,2021-04-21,Viaport Outlet
I385450,C277574,Female,51,Clothing,1304.78,Cash,2021-04-21,Metropol AVM
I969487,C334376,Female,26,Clothing,2684.18,Credit Card,2021-04-21,Mall of Istanbul
I284767,C108453,Female,66,Clothing,1887.71,Debit Card,2021-04-21,Metropol AVM
I332725,C175067,Female,60,Technology,4380.99,Cash,2021-04-21,Kanyon
I169576,C161793,Female,65,Clothing,1625.7,Cash,2021-04-21,Zorlu Center
I854551,C338798,Female,27,Shoes,2261.39,Debit Card,2021-04-21,Metropol AVM
I470874,C267889,Male,39,Books,180.74,Debit Card,2021-04-21,Metrocity
I154676,C168813,Female,25,Food & Beverage,105.36,Credit Card,2021-04-21,Metrocity
I251860,C176189,Female,59,Clothing,1613.78,Cash,2021-04-21,Cevahir AVM
I207233,C167238,Female,61,Books,346.19,Cash,2021-04-21,Metrocity
I750524,C263425,Female,55,Clothing,2783.23,Cash,2021-04-21,Istinye Park
I572072,C215922,Male,48,Clothing,1136.57,Credit Card,2021-04-21,Mall of Istanbul
I129285,C282629,Female,24,Cosmetics,284.25,Cash,2021-04-21,Mall of Istanbul
I297135,C144698,Male,35,Shoes,2906.13,Cash,2021-04-21,Viaport Outlet
I654282,C331753,Female,34,Souvenir,248.51,Cash,2021-04-21,Emaar Square Mall
I376421,C634057,Male,65,Clothing,1548.08,Debit Card,2021-04-21,Zorlu Center
I759211,C140402,Female,66,Clothing,1617.49,Cash,2021-04-21,Metropol AVM
I171398,C526385,Male,63,Clothing,2722.83,Cash,2021-04-22,Viaport Outlet
I105331,C495411,Female,63,Clothing,1922.85,Cash,2021-04-22,Kanyon
I353996,C218419,Female,19,Shoes,2291.43,Cash,2021-04-22,Kanyon
I379185,C228628,Female,30,Cosmetics,375.76,Debit Card,2021-04-22,Kanyon
I862961,C190560,Female,48,Food & Beverage,95.72,Credit Card,2021-04-22,Viaport Outlet
I195502,C225860,Female,41,Toys,457.89,Credit Card,2021-04-22,Metrocity
I202850,C156190,Male,44,Cosmetics,531.56,Debit Card,2021-04-22,Metropol AVM
I149355,C103465,Male,38,Clothing,1083.63,Credit Card,2021-04-22,Emaar Square Mall
I294068,C292490,Female,68,Shoes,1530.89,Cash,2021-04-22,Mall of Istanbul
I120854,C252861,Female,28,Toys,818.29,Cash,2021-04-22,Metrocity
I117028,C104172,Female,33,Clothing,2307.87,Debit Card,2021-04-22,Mall of Istanbul
I284769,C248027,Male,28,Souvenir,261.66,Cash,2021-04-22,Mall of Istanbul
I473341,C540364,Female,46,Clothing,2411.52,Credit Card,2021-04-22,Kanyon
I212445,C323555,Male,53,Clothing,1119.02,Cash,2021-04-22,Mall of Istanbul
I106014,C813135,Female,38,Cosmetics,181.05,Debit Card,2021-04-22,Mall of Istanbul
I819408,C315435,Female,26,Cosmetics,798.46,Debit Card,2021-04-22,Mall of Istanbul
I141239,C251547,Female,65,Clothing,2440.21,Cash,2021-04-22,Forum Istanbul
I313808,C379781,Female,25,Shoes,2118.14,Credit Card,2021-04-22,Kanyon
I548128,C277280,Male,46,Clothing,2825.56,Cash,2021-04-22,Emaar Square Mall
I252640,C233500,Male,50,Books,373.57,Credit Card,2021-04-22,Metropol AVM
I108009,C262733,Female,34,Cosmetics,545.41,Debit Card,2021-04-22,Kanyon
I293442,C270759,Male,34,Clothing,1176.43,Cash,2021-04-22,Metrocity
I199338,C123046,Female,50,Shoes,2200.91,Debit Card,2021-04-22,Metropol AVM
I100423,C664680,Female,33,Food & Beverage,81.65,Debit Card,2021-04-22,Metrocity
I251207,C255137,Male,18,Clothing,2935.48,Cash,2021-04-22,Zorlu Center
I149543,C101666,Female,50,Food & Beverage,69.37,Debit Card,2021-04-22,Metrocity
I776928,C189990,Male,57,Technology,4579.35,Cash,2021-04-22,Metropol AVM
I263299,C515557,Female,38,Clothing,2128.18,Credit Card,2021-04-22,Mall of Istanbul
I223966,C180824,Male,63,Shoes,1759.16,Cash,2021-04-22,Mall of Istanbul
I687191,C147428,Female,24,Shoes,1931.01,Debit Card,2021-04-22,Metropol AVM
I111899,C264589,Female,68,Shoes,2329.46,Debit Card,2021-04-22,Metrocity
I247693,C118347,Female,69,Souvenir,235.71,Credit Card,2021-04-22,Cevahir AVM
I265537,C288150,Female,20,Clothing,1254.04,Cash,2021-04-22,Zorlu Center
I554615,C319421,Female,64,Clothing,1945.03,Cash,2021-04-22,Metropol AVM
I316195,C830499,Female,29,Clothing,1561.56,Credit Card,2021-04-22,Metrocity
I111242,C284262,Female,38,Toys,596.78,Credit Card,2021-04-22,Mall of Istanbul
I814527,C201219,Male,56,Food & Beverage,59.34,Cash,2021-04-22,Mall of Istanbul
I171669,C250377,Female,35,Clothing,1395.98,Credit Card,2021-04-22,Kanyon
I725198,C126033,Male,38,Food & Beverage,75.96,Cash,2021-04-22,Kanyon
I188860,C153939,Male,43,Shoes,2306.86,Debit Card,2021-04-22,Istinye Park
I339694,C275017,Male,51,Cosmetics,992.29,Credit Card,2021-04-22,Kanyon
I235162,C190600,Female,37,Clothing,1629.95,Debit Card,2021-04-22,Viaport Outlet
I386464,C331354,Female,64,Technology,3501.62,Cash,2021-04-22,Viaport Outlet
I885786,C159969,Female,59,Books,191.68,Credit Card,2021-04-22,Mall of Istanbul
I170189,C140605,Male,43,Cosmetics,465.84,Credit Card,2021-04-22,Mall of Istanbul
I150324,C300731,Female,20,Food & Beverage,132.31,Cash,2021-04-22,Mall of Istanbul
I240532,C179946,Male,68,Shoes,2556.2,Cash,2021-04-22,Kanyon
I306918,C449983,Male,63,Cosmetics,414.79,Cash,2021-04-22,Istinye Park
I171245,C706036,Female,42,Cosmetics,339.55,Cash,2021-04-22,Mall of Istanbul
I204893,C333244,Male,41,Food & Beverage,62.07,Debit Card,2021-04-22,Mall of Istanbul
I184555,C194347,Female,49,Souvenir,180.87,Cash,2021-04-22,Mall of Istanbul
I955887,C335826,Female,19,Shoes,2020.42,Debit Card,2021-04-22,Viaport Outlet
I327566,C896889,Female,40,Cosmetics,156.37,Debit Card,2021-04-22,Metropol AVM
I325238,C166184,Female,31,Food & Beverage,86.78,Cash,2021-04-22,Metrocity
I449267,C485476,Female,37,Clothing,2472.94,Cash,2021-04-22,Metrocity
I183898,C286293,Female,35,Cosmetics,417.97,Credit Card,2021-04-22,Kanyon
I123488,C195571,Male,25,Cosmetics,813.47,Credit Card,2021-04-22,Mall of Istanbul
I265100,C237061,Female,40,Toys,207.64,Debit Card,2021-04-22,Mall of Istanbul
I262566,C209128,Male,48,Clothing,2361.5,Credit Card,2021-04-22,Cevahir AVM
I174958,C205926,Male,38,Technology,1149.69,Debit Card,2021-04-22,Istinye Park
I488712,C288057,Female,46,Clothing,2650.35,Credit Card,2021-04-22,Zorlu Center
I742189,C792119,Female,65,Cosmetics,737.78,Cash,2021-04-22,Zorlu Center
I285932,C283199,Female,65,Souvenir,171.42,Credit Card,2021-04-22,Istinye Park
I151451,C233869,Male,65,Cosmetics,835.39,Credit Card,2021-04-22,Cevahir AVM
I196403,C185346,Female,41,Souvenir,271.77,Debit Card,2021-04-22,Metrocity
I184820,C371073,Male,57,Clothing,1944.63,Credit Card,2021-04-22,Metropol AVM
I797290,C324858,Female,63,Clothing,2557.69,Credit Card,2021-04-22,Metrocity
I633245,C283387,Female,26,Clothing,1209.72,Debit Card,2021-04-22,Mall of Istanbul
I302771,C178882,Female,35,Cosmetics,174.37,Credit Card,2021-04-22,Forum Istanbul
I735494,C285353,Female,37,Clothing,1347.51,Cash,2021-04-22,Kanyon
I186748,C607935,Female,65,Shoes,2276.41,Debit Card,2021-04-22,Istinye Park
I132169,C112129,Female,45,Clothing,2918.13,Debit Card,2021-04-22,Kanyon
I242934,C221304,Female,40,Cosmetics,775.63,Credit Card,2021-04-22,Forum Istanbul
I124899,C142533,Male,49,Toys,322.41,Cash,2021-04-22,Metropol AVM
I879145,C261665,Male,33,Clothing,1664.82,Cash,2021-04-22,Mall of Istanbul
I508200,C143641,Male,51,Clothing,2090.96,Credit Card,2021-04-22,Metropol AVM
I217976,C165810,Female,27,Souvenir,210.32,Credit Card,2021-04-22,Viaport Outlet
I962297,C705974,Male,42,Clothing,2444.61,Credit Card,2021-04-22,Metropol AVM
I264883,C169105,Female,39,Toys,609.37,Debit Card,2021-04-22,Mall of Istanbul
I179044,C117455,Male,19,Souvenir,277.6,Cash,2021-04-22,Metropol AVM
I760031,C312868,Female,61,Clothing,2089.53,Cash,2021-04-22,Metropol AVM
I235629,C303878,Male,45,Food & Beverage,58.88,Cash,2021-04-22,Zorlu Center
I282913,C883999,Male,33,Clothing,1613.77,Debit Card,2021-04-22,Emaar Square Mall
I583758,C225748,Female,32,Cosmetics,132.9,Cash,2021-04-22,Emaar Square Mall
I146954,C299790,Male,67,Clothing,1641.95,Cash,2021-04-22,Zorlu Center
I275353,C800803,Male,38,Books,169.36,Credit Card,2021-04-22,Kanyon
I285389,C165733,Male,28,Technology,4983.09,Debit Card,2021-04-22,Metrocity
I633072,C158849,Male,31,Clothing,1964.1,Cash,2021-04-22,Metrocity
I333153,C232329,Female,51,Cosmetics,799.33,Cash,2021-04-22,Metropol AVM
I331296,C214924,Male,45,Technology,1333.22,Debit Card,2021-04-22,Mall of Istanbul
I194151,C734880,Male,24,Books,191.26,Credit Card,2021-04-22,Zorlu Center
I730973,C253535,Male,29,Cosmetics,807.38,Cash,2021-04-22,Emaar Square Mall
I325242,C165072,Male,56,Shoes,2344.66,Debit Card,2021-04-22,Mall of Istanbul
I179028,C163739,Male,37,Toys,958.28,Cash,2021-04-22,Metropol AVM
I265775,C570945,Female,44,Clothing,2486.36,Cash,2021-04-22,Mall of Istanbul
I150211,C298662,Female,43,Souvenir,172.18,Debit Card,2021-04-22,Forum Istanbul
I259225,C270130,Male,24,Toys,383.39,Credit Card,2021-04-22,Metrocity
I235422,C165541,Female,58,Clothing,1842.32,Cash,2021-04-22,Metropol AVM
I203915,C305847,Male,42,Shoes,1642.74,Credit Card,2021-04-22,Metrocity
I329811,C233988,Female,47,Clothing,2277.75,Cash,2021-04-22,Emaar Square Mall
I514338,C284047,Female,31,Clothing,1169.5,Cash,2021-04-22,Emaar Square Mall
I202729,C126034,Female,62,Clothing,2599.42,Cash,2021-04-22,Zorlu Center
I170894,C121994,Female,36,Food & Beverage,71.73,Debit Card,2021-04-22,Viaport Outlet
I761676,C555924,Male,55,Food & Beverage,111.5,Debit Card,2021-04-22,Kanyon
I249412,C311413,Female,32,Cosmetics,434.36,Cash,2021-04-22,Kanyon
I294523,C144814,Male,40,Clothing,1652.3,Credit Card,2021-04-22,Zorlu Center
I266274,C252035,Female,53,Shoes,1833.43,Credit Card,2021-04-22,Istinye Park
I843433,C221268,Female,55,Clothing,2486.72,Credit Card,2021-04-22,Kanyon
I309569,C113721,Female,22,Books,276.46,Debit Card,2021-04-22,Cevahir AVM
I769792,C205676,Female,37,Cosmetics,525.72,Cash,2021-04-22,Mall of Istanbul
I323494,C136022,Female,21,Food & Beverage,143.99,Debit Card,2021-04-22,Metropol AVM
I227716,C552345,Male,53,Food & Beverage,63.12,Cash,2021-04-22,Kanyon
I299107,C717701,Male,18,Toys,766.98,Credit Card,2021-04-22,Metropol AVM
I948101,C102037,Female,37,Food & Beverage,121.01,Cash,2021-04-22,Viaport Outlet
I272020,C135499,Female,46,Clothing,2192.38,Cash,2021-04-22,Emaar Square Mall
I588876,C322714,Female,59,Technology,4182.77,Debit Card,2021-04-22,Istinye Park
I202554,C284527,Male,53,Cosmetics,131.01,Debit Card,2021-04-22,Forum Istanbul
I236452,C262462,Female,48,Clothing,1037.22,Cash,2021-04-22,Kanyon
I124362,C103246,Male,47,Food & Beverage,52.86,Cash,2021-04-22,Metrocity
I238755,C169984,Female,30,Cosmetics,991.92,Cash,2021-04-22,Emaar Square Mall
I209161,C122178,Male,69,Clothing,1844.23,Cash,2021-04-22,Kanyon
I204007,C626214,Female,63,Souvenir,275.89,Credit Card,2021-04-22,Mall of Istanbul
I836861,C186902,Female,46,Souvenir,106.55,Cash,2021-04-22,Zorlu Center
I268061,C255122,Male,52,Food & Beverage,63.53,Credit Card,2021-04-22,Metropol AVM
I312460,C171282,Male,31,Clothing,1697.6,Cash,2021-04-22,Metrocity
I343164,C799518,Female,54,Cosmetics,124.64,Cash,2021-04-22,Kanyon
I215768,C285607,Male,35,Cosmetics,629.74,Debit Card,2021-04-22,Kanyon
I239617,C238341,Female,54,Cosmetics,539.3,Cash,2021-04-22,Forum Istanbul
I318822,C156990,Male,39,Cosmetics,938.31,Cash,2021-04-22,Kanyon
I890566,C203721,Female,37,Clothing,2800.6,Credit Card,2021-04-22,Viaport Outlet
I298762,C161299,Male,45,Clothing,2414.7,Credit Card,2021-04-22,Istinye Park
I202261,C116522,Female,21,Clothing,1296.03,Cash,2021-04-22,Metropol AVM
I130278,C324446,Male,31,Cosmetics,128.85,Credit Card,2021-04-23,Metropol AVM
I216452,C382086,Male,19,Cosmetics,185.31,Cash,2021-04-23,Metrocity
I237404,C174456,Female,66,Shoes,2346.64,Cash,2021-04-23,Metropol AVM
I191596,C126057,Male,47,Shoes,1480.53,Cash,2021-04-23,Mall of Istanbul
I234396,C318177,Female,31,Food & Beverage,72.76,Credit Card,2021-04-23,Metrocity
I595400,C963816,Female,21,Souvenir,194.1,Credit Card,2021-04-23,Metrocity
I495217,C201881,Male,68,Clothing,1666.72,Credit Card,2021-04-23,Cevahir AVM
I421245,C333061,Female,48,Clothing,2391.96,Debit Card,2021-04-23,Metrocity
I144546,C298057,Female,25,Cosmetics,632.51,Credit Card,2021-04-23,Metropol AVM
I280920,C100041,Female,50,Clothing,2031.73,Cash,2021-04-23,Kanyon
I114467,C286742,Female,62,Clothing,1794.22,Cash,2021-04-23,Metrocity
I109199,C225166,Female,55,Clothing,2722.04,Cash,2021-04-23,Viaport Outlet
I128967,C319859,Female,39,Shoes,1769.83,Cash,2021-04-23,Kanyon
I300250,C147998,Male,37,Cosmetics,970.27,Cash,2021-04-23,Mall of Istanbul
I599566,C812399,Female,61,Clothing,1037.4,Cash,2021-04-23,Viaport Outlet
I106510,C157215,Male,61,Cosmetics,133.73,Cash,2021-04-23,Metrocity
I199804,C635455,Female,58,Clothing,2835.41,Credit Card,2021-04-23,Viaport Outlet
I115681,C671028,Female,36,Shoes,1095.87,Cash,2021-04-23,Kanyon
I308590,C652435,Male,20,Toys,641.89,Credit Card,2021-04-23,Mall of Istanbul
I103764,C259614,Female,64,Clothing,1228.61,Credit Card,2021-04-23,Istinye Park
I228651,C151974,Male,59,Clothing,2095.88,Credit Card,2021-04-23,Metropol AVM
I259857,C313096,Female,28,Cosmetics,859.61,Cash,2021-04-23,Metrocity
I260442,C600691,Female,37,Toys,866.19,Credit Card,2021-04-23,Emaar Square Mall
I113113,C286422,Male,48,Clothing,2102.49,Credit Card,2021-04-23,Kanyon
I142228,C242994,Male,26,Technology,2736.71,Credit Card,2021-04-23,Mall of Istanbul
I424875,C499616,Female,41,Food & Beverage,145.64,Debit Card,2021-04-23,Kanyon
I279200,C476166,Female,68,Shoes,1400.65,Credit Card,2021-04-23,Zorlu Center
I269272,C444901,Female,30,Shoes,2674.21,Cash,2021-04-23,Istinye Park
I300819,C152429,Female,27,Toys,271.51,Cash,2021-04-23,Metrocity
I226553,C204311,Female,25,Clothing,2109.66,Cash,2021-04-23,Metrocity
I143279,C216495,Female,25,Food & Beverage,141.66,Cash,2021-04-23,Mall of Istanbul
I411387,C611417,Male,37,Food & Beverage,102.07,Debit Card,2021-04-23,Istinye Park
I251393,C231556,Male,64,Clothing,2785.47,Credit Card,2021-04-23,Viaport Outlet
I105433,C247709,Male,34,Books,414.14,Credit Card,2021-04-23,Mall of Istanbul
I252182,C127898,Female,40,Clothing,2548.77,Cash,2021-04-23,Zorlu Center
I317821,C249382,Female,33,Cosmetics,996.37,Credit Card,2021-04-23,Mall of Istanbul
I122942,C291509,Female,27,Cosmetics,744.4,Credit Card,2021-04-23,Metrocity
I239834,C138554,Female,39,Souvenir,203.14,Cash,2021-04-23,Metrocity
I326953,C241103,Female,49,Clothing,1169.48,Cash,2021-04-23,Kanyon
I364223,C158463,Female,22,Food & Beverage,98.26,Credit Card,2021-04-23,Forum Istanbul
I211820,C168016,Female,43,Clothing,1619.82,Credit Card,2021-04-23,Cevahir AVM
I237283,C739311,Male,24,Food & Beverage,75.31,Cash,2021-04-23,Kanyon
I230863,C403473,Male,62,Clothing,1852.01,Debit Card,2021-04-23,Kanyon
I396995,C138327,Female,54,Food & Beverage,129.51,Cash,2021-04-23,Cevahir AVM
I162593,C104337,Female,41,Cosmetics,339.39,Debit Card,2021-04-23,Mall of Istanbul
I207868,C284202,Female,43,Food & Beverage,112.04,Cash,2021-04-23,Cevahir AVM
I231515,C147981,Female,68,Food & Beverage,74.92,Cash,2021-04-23,Cevahir AVM
I128765,C851829,Female,53,Souvenir,176.99,Credit Card,2021-04-23,Metropol AVM
I453418,C373356,Male,27,Technology,2023.63,Credit Card,2021-04-23,Kanyon
I264908,C137657,Female,44,Food & Beverage,110.91,Credit Card,2021-04-23,Kanyon
I522849,C151654,Male,63,Shoes,1975.88,Credit Card,2021-04-23,Metrocity
I119049,C129763,Female,34,Cosmetics,985.53,Credit Card,2021-04-23,Istinye Park
I301694,C154644,Male,50,Clothing,2719.64,Credit Card,2021-04-23,Mall of Istanbul
I194385,C201802,Male,30,Clothing,1554.91,Cash,2021-04-23,Emaar Square Mall
I851936,C107338,Female,36,Food & Beverage,118.65,Credit Card,2021-04-23,Mall of Istanbul
I151160,C340215,Male,39,Cosmetics,665.28,Cash,2021-04-23,Metrocity
I172016,C247712,Male,37,Cosmetics,698.04,Cash,2021-04-23,Zorlu Center
I186135,C218293,Female,40,Clothing,2170.08,Debit Card,2021-04-23,Metrocity
I924776,C330607,Female,26,Shoes,2180.88,Credit Card,2021-04-23,Cevahir AVM
I253697,C138984,Female,42,Cosmetics,890.37,Debit Card,2021-04-23,Metropol AVM
I234966,C292742,Male,56,Clothing,1787.21,Cash,2021-04-23,Metrocity
I149745,C194933,Female,68,Clothing,2275.05,Debit Card,2021-04-23,Forum Istanbul
I276859,C249760,Female,55,Souvenir,257.82,Cash,2021-04-23,Kanyon
I683509,C280701,Male,26,Food & Beverage,88.1,Cash,2021-04-23,Metropol AVM
I995532,C332329,Female,33,Food & Beverage,121.17,Credit Card,2021-04-23,Kanyon
I200463,C168747,Female,46,Clothing,2042.98,Debit Card,2021-04-23,Viaport Outlet
I270133,C147066,Female,31,Clothing,1450.9,Debit Card,2021-04-23,Cevahir AVM
I115246,C250368,Female,41,Clothing,1318.12,Cash,2021-04-23,Cevahir AVM
I247883,C196944,Female,44,Technology,3041.81,Cash,2021-04-23,Emaar Square Mall
I324202,C102554,Male,35,Food & Beverage,109.83,Credit Card,2021-04-23,Viaport Outlet
I440433,C320327,Male,38,Clothing,2068.71,Debit Card,2021-04-23,Emaar Square Mall
I135265,C276915,Female,42,Toys,444.98,Credit Card,2021-04-23,Istinye Park
I101834,C407525,Female,69,Toys,495.33,Cash,2021-04-23,Istinye Park
I242976,C286457,Male,37,Clothing,2807.07,Credit Card,2021-04-23,Kanyon
I144786,C231755,Male,21,Clothing,1146.67,Cash,2021-04-23,Metrocity
I144232,C123614,Female,23,Clothing,2707.31,Cash,2021-04-23,Zorlu Center
I130125,C203734,Female,55,Clothing,1595.04,Cash,2021-04-23,Viaport Outlet
I300877,C142703,Male,65,Clothing,2702.13,Cash,2021-04-23,Metrocity
I262523,C170625,Female,58,Food & Beverage,132.66,Cash,2021-04-23,Metrocity
I169802,C192341,Female,35,Shoes,2500.55,Cash,2021-04-23,Istinye Park
I113985,C862467,Female,58,Food & Beverage,59.98,Cash,2021-04-23,Istinye Park
I261374,C204164,Male,45,Toys,624.63,Debit Card,2021-04-23,Istinye Park
I949087,C325566,Male,34,Toys,699.3,Debit Card,2021-04-23,Metrocity
I119327,C386548,Female,64,Technology,4443.66,Debit Card,2021-04-23,Metrocity
I136727,C283151,Male,29,Books,345.85,Cash,2021-04-23,Istinye Park
I275316,C252316,Male,48,Cosmetics,299.13,Debit Card,2021-04-23,Kanyon
I971944,C144144,Female,44,Cosmetics,893.19,Credit Card,2021-04-23,Mall of Istanbul
I165410,C700145,Female,27,Clothing,2625.26,Cash,2021-04-23,Mall of Istanbul
I215645,C263693,Male,45,Food & Beverage,136.16,Credit Card,2021-04-23,Istinye Park
I241341,C172351,Male,30,Cosmetics,697.79,Credit Card,2021-04-23,Mall of Istanbul
I134258,C133712,Female,56,Clothing,2658.95,Cash,2021-04-23,Kanyon
I675931,C281982,Female,41,Shoes,2376.89,Debit Card,2021-04-23,Mall of Istanbul
I675619,C130299,Female,25,Cosmetics,342.96,Credit Card,2021-04-23,Metropol AVM
I213240,C688854,Male,24,Souvenir,295.09,Credit Card,2021-04-23,Metropol AVM
I503784,C221957,Male,35,Clothing,1709.77,Credit Card,2021-04-23,Istinye Park
I555491,C536112,Male,36,Shoes,1688.11,Credit Card,2021-04-23,Emaar Square Mall
I275599,C206711,Female,39,Clothing,1513.59,Debit Card,2021-04-23,Metropol AVM
I318431,C256019,Male,24,Technology,2356.03,Debit Card,2021-04-23,Metrocity
I314826,C127977,Male,55,Cosmetics,692.15,Debit Card,2021-04-23,Kanyon
I533764,C197762,Female,47,Books,195.1,Debit Card,2021-04-23,Mall of Istanbul
I324675,C223820,Male,58,Cosmetics,909.69,Cash,2021-04-23,Kanyon
I236637,C105163,Male,41,Clothing,1872.07,Cash,2021-04-23,Metrocity
I301806,C103287,Female,51,Shoes,1978.83,Cash,2021-04-23,Zorlu Center
I578049,C272724,Female,28,Cosmetics,419.03,Credit Card,2021-04-23,Viaport Outlet
I102964,C321846,Female,69,Shoes,1598.23,Cash,2021-04-23,Viaport Outlet
I210526,C199520,Female,58,Books,430.9,Debit Card,2021-04-23,Emaar Square Mall
I153410,C105412,Female,45,Shoes,2346.01,Credit Card,2021-04-23,Viaport Outlet
I162933,C198282,Female,54,Shoes,1478.55,Debit Card,2021-04-23,Metrocity
I331537,C243016,Male,62,Clothing,2417.5,Credit Card,2021-04-23,Kanyon
I143263,C251795,Male,28,Clothing,1033.25,Credit Card,2021-04-23,Metropol AVM
I288221,C156431,Female,64,Food & Beverage,146.09,Debit Card,2021-04-23,Mall of Istanbul
I133732,C292934,Female,34,Technology,2791.79,Debit Card,2021-04-23,Metrocity
I321657,C414184,Male,48,Cosmetics,960.84,Debit Card,2021-04-23,Kanyon
I365363,C911889,Male,64,Toys,342.17,Cash,2021-04-24,Kanyon
